ID,prd_code_sku,company,name_internal,vendor,productgroup,werksoort,costcenter,uursoort,discountgroup,currency,salesprice
30079c8e-e9de-4ffd-ad04-2d2664f17902,YYY-MSZGOA,MUN,Receipt for MSZGO. Incomplete. Needs PI etc,,,,,,,,0.00
43b34683-5583-41ac-916d-7715888e44bb,ZZZ-ANT-CON-SMA,MUN,Losse SMA connector,,ISA Internal Sub Assemblies (not for sale),,Water,,,,10.00
865575e7-51cc-431e-98d3-13062e52a26a,ZZZ-ANT-N-ZigBee,MUN,2.4Ghz 5dBi Wifi Antenne N Male Connector Recht 2.4G Omni-Directionele Antenne Draadloze Wlan 17Cm,Wellshow,ISA Internal Sub Assemblies (not for sale),,Noise,,,,10.00
66d97d7c-2880-4700-8657-1bfc02da49f5,ZZZ-ANT-OPN-GSM-PUCK-BL,MUN,"Open GSM Antenna Puck Black, 1.5m wire",Chang Hong,ISA Internal Sub Assemblies (not for sale),,Water,,,,10.00
f0bdc4ed-5c69-46a5-a9b3-ea75f5b79534,ZZZ-ANT-SMA-GSM_LTE,MUN,"Antennes Meteor FW.90 4G/3G/2G Cellular Flexible Whip, SMA(M)",,,,,,,,35.00
5807a5d8-7c43-4a81-a1fe-ae093934d0e1,ZZZ-ANT-SMA-GSM_LTE - straight SECTRON,MUN,"Antenna LTE Connector Mount FLAT 5, 690-2700 MHz, 3 dBi, SMA(m), IP68",,ISA Internal Sub Assemblies (not for sale),inkoop derden,Noise,,,,35.00
aa60bad6-d211-456f-9b24-9664309fb7ad,ZZZ-ANT-SMA-GSM-PUCK-BL,MUN,"SMA (M) GSM Antenna Puck Black, 1.5m wire",Chang Hong,ISA Internal Sub Assemblies (not for sale),,Water,,,,10.00
51c75eb7-7a12-4766-8963-23e4e458b72e,ZZZ-ANT-SMA-GSM-STUB-BL,MUN,SMA GSM Antenna Stubby Black,Wellshow,ISA Internal Sub Assemblies (not for sale),,Water,,,,1.00
9d5585b5-a8a2-4a4c-8c22-09c259501263,ZZZ-ANT-SMA-GSM-SWIV-BL,MUN,SMA (M) GSM Antenna Swivel Black,Wellshow,ISA Internal Sub Assemblies (not for sale),,Water,,,,2.25
93cc0773-5bc8-41e9-8d67-3506fa9e56df,ZZZ-ASM-ANT-LV5-PUCK,MUN,Assemblage van puck antenne voor LV5/LV6/QU2/QU3,Spaarnewerkt,ISA Internal Sub Assemblies (not for sale),,,,,,3.00
aff621d7-c3aa-406a-8661-562306b1063f,ZZZ-ASM-LV5-712.99016,MUN,Assemblage van LV5 met Huba 712.99016,Spaarnewerkt,ISA Internal Sub Assemblies (not for sale),,,,,,5.50
1fd37924-40a4-4fe2-8f7d-f6de02149954,ZZZ-ASM-LV5-712.99017,MUN,Assemblage van LV5 met Huba 712.99017,Spaarnewerkt,ISA Internal Sub Assemblies (not for sale),,,,,,5.50
7ff8d6b6-0ab2-4232-9767-82274a4d7ad4,ZZZ-ASM-LV5-712.99024,MUN,Assemblage van LV5 met Huba 712.99024,Spaarnewerkt,ISA Internal Sub Assemblies (not for sale),,,,,,5.50
