""Prd.code (SKU)""	""Company""	""Naam intern""	""Standaard leverancier""	""Productgroep""	""Werksoort""	""Kostenplaats""	""Uursoort""	""Kortingsgroep""	""Valuta""	""Verkoopprijs product (standaard)""
""EK""	""MUN""	""Non-recurring costs - eenmalige kosten; use "samenstelling" to add non-recurring costs""	""""	""""	""""	""""	""""	""""	""""	""0,00""
""ESLACCN-USER""	""MUN""	""Light portal user account, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""Light""	""""	""""	""""	""35,00""
""ESLACCRY-USER""	""MUN""	""Light portal user account, per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Light""	""""	""""	""""	""7,20""
""ESLC4A-E -""	""MUN""	""Model LC4, Elspec, universal light controller DALI/010V, energy measurement, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Light""	""""	""""	""""	""90,00""
""ESLCNFN-LOC""	""MUN""	""On-site portal configuration light project, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""Light""	""""	""""	""""	""1.000,00""
""ESLCNFN-REM""	""MUN""	""Remote portal configuration light project, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""Light""	""""	""""	""""	""500,00""
""ESLCNFRY-LOC""	""MUN""	""On-site portal configuration light project, per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Light""	""""	""""	""""	""0,00""
""ESLCNFRY-REM""	""MUN""	""Remote portal configuration light project, per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Light""	""""	""""	""""	""0,00""
""ESLCNTN-ADV""	""MUN""	""Controlling light, advanced version [dimcalendar, alarm, error reporting, energy, dynamic, traffic], non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""Light""	""""	""""	""""	""15,00""
""ESLCNTRY-ADV""	""MUN""	""Controlling light, advanced version [dimcalendar, alarm, error reporting, energy, dynamic, traffic], per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Light""	""""	""""	""""	""14,40""
""ESLENTN-A500""	""MUN""	""Portal license 500 light controllers, advanced version [dimkalendar, alarm, error reporting, energy, dynamic, traffic count], non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""Light""	""""	""""	""""	""1.430,00""
""ESLENTN-B050""	""MUN""	""Portal license 50 light controllers, 2 users, basic version [dimkalendar, alarm, error reporting, energy], non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""Light""	""""	""""	""""	""720,00""
""ESLENTN-B100""	""MUN""	""Portal license 100 light controllers, basic version [dimkalendar, alarm, error reporting, energy], non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""Light""	""""	""""	""""	""1.075,00""
""ESLENTN-B500""	""MUN""	""Portal license 500 light controllers, basic version [dimkalendar, alarm, error reporting, energy, dynamic, traffic count] , non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""Light""	""""	""""	""""	""1.075,00""
""ESLENTN-L050""	""MUN""	""Portal license 50 light controllers, 1 user, lite version [dimkalendar, alarm], non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""Light""	""""	""""	""""	""350,00""
""ESLENTRY-A500""	""MUN""	""Portal usage 500 light controllers, advanced version [dimkalendar, alarm, error reporting, energy, dynamic, traffic count], per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Light""	""""	""""	""""	""0,00""
""ESLENTRY-B050""	""MUN""	""Portal usage 50 light controllers, 2 users, basic version [dimkalendar, alarm, error reporting, energy], per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Light""	""""	""""	""""	""0,00""
""ESLENTRY-B100""	""MUN""	""Portal usage 100 light controllers, basic version [dimkalendar, alarm, error reporting, energy], per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Light""	""""	""""	""""	""0,00""
""ESLENTRY-B500""	""MUN""	""Portal usage 500 light controllers, basic version [dimkalendar, alarm, error reporting, energy, dynamic, traffic count] , per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Light""	""""	""""	""""	""0,00""
""ESLENTRY-L050""	""MUN""	""Portal usage 50 light controllers, 1 user, lite version [dimkalendar, alarm], per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Light""	""""	""""	""""	""0,00""
""ESLGTWN-ALIS5Y""	""MUN""	""ALiS interface to INSIGHTNOW platform for gateway, fee for 5 years, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""""	""""	""""	""""	""0,00""
""ESLGTWRY-ALIS5Y""	""MUN""	""ALiS interface to INSIGHTNOW platform for gateway, fee for 5 years, per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""""	""""	""""	""""	""30,00""
""ESLLCNNR-ALIS5Y""	""MUN""	""ALiS interface to INSIGHTNOW platform for light controller, fee for 5 years, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""""	""""	""""	""""	""0,00""
""ESLLCNRYR-ALIS5Y""	""MUN""	""ALiS interface to INSIGHTNOW platform for light controller, fee for 5 years, per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""""	""""	""""	""""	""3,00""
""ESLLCRN-BASIC""	""MUN""	""Controlling light, basic version [dimcalendar, alarm, error reporting, energy], non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""""	""""	""""	""""	""15,00""
""ESLLCRN-LITE""	""MUN""	""Controlling light, lite version [dimcalendar, alarm], non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""""	""""	""""	""""	""15,00""
""ESLLCRRY-BASIC""	""MUN""	""Controlling light, basic version [dimcalendar, alarm, error reporting, energy], per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""""	""""	""""	""""	""7,20""
""ESLLCRRY-LITE""	""MUN""	""Controlling light, lite version [dimcalendar, alarm], per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""""	""""	""""	""""	""3,60""
""MPS-ADDWORK""	""MUN""	""Additional Work""	""""	""MPS Munisense Professional Services""	""""	""""	""""	""""	""""	""0,00""
""MPS-ADDWORK-W""	""MUN""	""Additional work water portfolio""	""""	""MPS Munisense Professional Services""	""""	""Water""	""""	""""	""""	""113,00""
""MPS-ADMINCOST""	""MUN""	""Administration cost. For orders below our minimum order amount of 250 euro, we charge administration cost.""	""""	""MPS Munisense Professional Services""	""""	""""	""""	""""	""""	""15,00""
""MPS-ADMINCOST-W""	""MUN""	""Administration cost. For orders below our minimum order amount of 250 euro, we charge administration cost.""	""""	""MPS Munisense Professional Services""	""""	""Water""	""""	""""	""""	""35,00""
""MPS-CALIBRATION""	""MUN""	""Sensor calibration""	""""	""MPS Munisense Professional Services""	""tijd""	""Noise""	""staging/callibration""	""""	""""	""85,00""
""MPS-CONFIG""	""MUN""	""Configuration/Import/Export/BRO cost, per hour""	""""	""MPS Munisense Professional Services""	""""	""""	""""	""""	""""	""99,00""
""MPS-CONFIG-W""	""MUN""	""Configuration/Import/Export/BRO cost, per hour""	""""	""MPS Munisense Professional Services""	""""	""Water""	""""	""""	""""	""107,00""
""MPS-CONSULT""	""MUN""	""Custom Consultative services""	""""	""MPS Munisense Professional Services""	""tijd""	""""	""engineering""	""""	""""	""100,00""
""MPS-DE-DEV""	""MUN""	""Depreciation initial Development cost""	""""	""MPS Munisense Professional Services""	""""	""""	""""	""""	""""	""50,00""
""MPS-DE-INSTALL""	""MUN""	""Depreciation initial Installation cost""	""""	""MPS Munisense Professional Services""	""""	""""	""""	""""	""""	""65,00""
""MPS-DEVELOPMENT""	""MUN""	""Custom hardware or software development, per hour""	""""	""MPS Munisense Professional Services""	""tijd""	""""	""engineering""	""""	""""	""115,00""
""MPS-FIRM-UPD""	""MUN""	""Firmware update""	""""	""MPS Munisense Professional Services""	""kosten""	""""	""maintenance""	""""	""""	""25,00""
""MPS-INSPECTIE""	""MUN""	""Inspectie en onderzoek van apparatuur via RMA process""	""""	""MPS Munisense Professional Services""	""""	""""	""""	""""	""""	""35,00""
""MPS-INSPECTIE-W""	""MUN""	""Inspectie en onderzoek van apparatuur via RMA process""	""""	""MPS Munisense Professional Services""	""""	""""	""""	""""	""""	""35,00""
""MPS-INSTALL""	""MUN""	""Installation and/or configuration, per hour""	""""	""MPS Munisense Professional Services""	""""	""""	""""	""""	""""	""79,00""
""MPS-INSTALLATION""	""MUN""	""Installation cost""	""""	""MPS Munisense Professional Services""	""""	""""	""""	""""	""""	""72,00""
""MPS-INSTALLC1""	""MUN""	""Call-out fee""	""""	""MPS Munisense Professional Services""	""""	""""	""""	""""	""""	""75,00""
""MPS-INSTALLC2""	""MUN""	""Call-out fee 41-100 km""	""""	""MPS Munisense Professional Services""	""""	""""	""""	""""	""""	""125,00""
""MPS-INSTALLC3""	""MUN""	""Call-out fee 100-200 km""	""""	""MPS Munisense Professional Services""	""""	""""	""""	""""	""""	""175,00""
""MPS-INSTALLC4""	""MUN""	""Call-out fee > 200 km""	""""	""MPS Munisense Professional Services""	""""	""""	""""	""""	""""	""225,00""
""MPS-INSTALL-W""	""MUN""	""Installation, fieldwork, call-out cost, per hour""	""""	""MPS Munisense Professional Services""	""""	""Water""	""""	""""	""""	""81,00""
""MPS-PORTAL-W""	""MUN""	""Water portal""	""""	""MPS Munisense Professional Services""	""tijd""	""""	""engineering""	""""	""""	""200,00""
""MPS-PROJECTMNGT""	""MUN""	""Hours related to Project management""	""""	""MPS Munisense Professional Services""	""tijd""	""""	""""	""""	""""	""105,00""
""MPS-PROJECTMNGT-W""	""MUN""	""Hours related to Project management""	""""	""MPS Munisense Professional Services""	""tijd""	""""	""""	""""	""""	""105,00""
""MPSR-CAL1Y1""	""MUN""	""yearly fee for Calibration Class1 (will be done once every 2 years)""	""""	""MPSRY2 Munisense Professional Services recurring per 2 ye""	""""	""Noise""	""""	""""	""""	""270,00""
""MPSR-CAL1Y2""	""MUN""	""Calibration Class1 (needed once every 2 years)""	""""	""MPSRY2 Munisense Professional Services recurring per 2 ye""	""""	""Noise""	""""	""""	""""	""535,00""
""MPSR-DEVELOPMENT""	""MUN""	""Recurring development cost (yearly)""	""""	""MPSRY1 Munisense Professional Services recurring per ye""	""""	""""	""engineering""	""""	""""	""105,00""
""MPS-STOP-START-W""	""MUN""	""Cost for stopping and restarting a water device.""	""""	""MPS Munisense Professional Services""	""""	""""	""""	""""	""""	""50,00""
""MPS-SURVEY""	""MUN""	""Hours related to pre-installation survey""	""""	""MPS Munisense Professional Services""	""tijd""	""""	""""	""""	""""	""95,00""
""MPS-TRAINING-N""	""MUN""	""User training noise portal, one session""	""""	""MPS Munisense Professional Services""	""tijd""	""""	""engineering""	""""	""""	""0,00""
""MPS-TRAINING-W""	""MUN""	""User training water portal, one session""	""""	""MPS Munisense Professional Services""	""tijd""	""""	""engineering""	""""	""""	""0,00""
""MPS-VERZEND""	""MUN""	""Verzend- en handelingkosten voor orders kleiner dan €3500,-""	""""	""MPS Munisense Professional Services""	""""	""""	""""	""""	""""	""35,00""
""MPSW-INSTALL""	""MUN""	""Installation hours water""	""""	""MPS Munisense Professional Services""	""""	""Water""	""""	""""	""""	""68,00""
""MS""	""MUN""	""""	""""	""""	""""	""""	""""	""""	""""	""0,00""
""MSAP2A""	""MUN""	""Model AP2, indoor climate monitoring station for particulates, temperature and humidity , non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Indoorclimate""	""""	""""	""""	""597,00""
""MSAP2RYCI""	""MUN""	""Service Level for Model AP2, per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""""	""""	""""	""""	""41,58""
""MSAP2RYFS""	""MUN""	""Service Level for Model AP2, per year, full service""	""""	""ISNRY-FS InsightNow Network, recurring per year, full serv""	""""	""""	""""	""""	""""	""89,10""
""MSAQ1A-I""	""MUN""	""Model AQ1, air quality monitoring station for indoor use (with ventilator), NO2, PM, Li-Ion battery, LTE-M communication, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Indoorclimate""	""""	""""	""""	""995,00""
""MSAQ1A-O""	""MUN""	""Model AQ1, mobile/stationair air quality monitoring station for outdoor use (with air pump), NO2, PM, Li-Ion battery, LTE-M communication, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Indoorclimate""	""""	""""	""""	""995,00""
""MSAQ1RYCI""	""MUN""	""Service Level for Model AQ1, per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""""	""""	""""	""""	""69,65""
""MSAQE-CO""	""MUN""	""Model AQE, extension on AQ monitoring stations for CO, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Indoorclimate""	""""	""""	""""	""145,00""
""MSAQE-CV""	""MUN""	""Model AQE, extension on AQ monitoring stations for CO2 and VOC, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Indoorclimate""	""""	""""	""""	""99,00""
""MSAQE-NO""	""MUN""	""Model AQE, extension on AQ monitoring stations for NO, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Indoorclimate""	""""	""""	""""	""145,00""
""MSAQVLBRY""	""MUN""	""Acquire data from the air quality monitoring station, per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Indoorclimate""	""""	""""	""""	""99,95""
""MSAQVLERY""	""MUN""	""Acquire data from outdoor monitoring station per AQE-extension, per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Indoorclimate""	""""	""""	""""	""24,95""
""MSBALANS-NTFO""	""MUN""	""Nog te factureren omzet""	""""	""""	""""	""""	""""	""""	""""	""0,00""
""MSC1VLRY-C""	""MUN""	""Acquire data from indoor climate monitoring station CO2, per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""""	""""	""""	""""	""49,00""
""MSC2VLN-TH""	""MUN""	""Acquire data from indoor climate monitoring station, temperature and humidity, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""""	""""	""""	""""	""10,00""
""MSC2VLRY-TH""	""MUN""	""Acquire data from indoor climate monitoring station, temperature and humidity, per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""""	""""	""""	""""	""119,40""
""MSC3VLN-THCLNO""	""MUN""	""Acquire data from indoor climate monitoring station, temperature, humidity, CO2, light, noise, occupation, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""""	""""	""""	""""	""10,00""
""MSC3VLRY-THCLNO""	""MUN""	""Acquire data from indoor climate monitoring station, temperature, humidity, CO2, light, noise, occupation, per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""""	""""	""""	""""	""119,40""
""MSC4VLBRY-THC""	""MUN""	""Acquire data from indoor climate monitoring station, temperature, humidity and CO2, per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Indoorclimate""	""""	""""	""""	""25,00""
""MSC4VLN-THC""	""MUN""	""Acquire data from indoor climate monitoring station, temperature, humidity and CO2, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""""	""""	""""	""""	""10,00""
""MSC4VLRY-THC""	""MUN""	""Acquire data from indoor climate monitoring station, temperature, humidity and CO2, per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Indoorclimate""	""""	""""	""""	""49,00""
""MSC5VLN-THLO""	""MUN""	""Acquire data from indoor climate monitoring station, temperature, humidity, light, occupation, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""""	""""	""""	""""	""10,00""
""MSC5VLRY-THLO""	""MUN""	""Acquire data from indoor climate monitoring station, temperature, humidity, light, occupation, per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""""	""""	""""	""""	""90,00""
""MSC-ACC-TS1""	""MUN""	""Tablestand for MSCS1 and MSCS4""	""Fresh Air Solutions BV (co2 indicator)""	""TPSN Third Party Services, non-recurring""	""""	""""	""""	""""	""""	""10,00""
""MSCATBRYCI""	""MUN""	""Service Level voor hardware categorie B, per year, Carry In""	""""	""ISNRY-FS InsightNow Network, recurring per year, full serv""	""""	""Noise""	""""	""""	""""	""125,00""
""MSCATBRYFS""	""MUN""	""Service Level voor hardware categorie B, per year, Full Service""	""""	""ISNRY-FS InsightNow Network, recurring per year, full serv""	""""	""Noise""	""""	""""	""""	""250,00""
""MSCATCRYCI""	""MUN""	""Service Level voor hardware categorie C per year, Carry In""	""""	""ISNRY-FS InsightNow Network, recurring per year, full serv""	""""	""Noise""	""""	""""	""""	""225,00""
""MSCATCRYFS""	""MUN""	""Service Level voor hardware categorie C, per year, Full Service""	""""	""ISNRY-FS InsightNow Network, recurring per year, full serv""	""""	""Noise""	""""	""""	""""	""400,00""
""MSCATDRYCI""	""MUN""	""Service Level voor hardware categorie D, per year, Carry In""	""""	""ISNRY-FS InsightNow Network, recurring per year, full serv""	""""	""Noise""	""""	""""	""""	""700,00""
""MSCATDRYFS""	""MUN""	""Service Level voor hardware categorie D, per year, Full Service""	""""	""ISNRY-FS InsightNow Network, recurring per year, full serv""	""""	""Noise""	""""	""""	""""	""500,00""
""MSCL1A""	""MUN""	""Model CL2, advanced noise monitoring station for levels, spectra, audio, noise recognition, 64 GB logging and WAV storage, 4G connectivity, WiFi,  Ethernet, GPS,  IP67, class 2, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""845,00""
""MSCL1A - B""	""MUN""	""Model CL2-B, CityListener, 
advanced noise monitoring station for levels, spectra, audio, noise recognition, 64 GB logging and WAV storage, 4G connectivity,  Ethernet, GPS,  IP67, class 2, Li-Ion battery for 17 hours, must be combined with Sustainder Cassette non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""995,00""
""MSCMD1A4-3Y""	""MUN""	""MSMD1A4 - Upgrade tSense SenseAir with 3 year portal""	""""	""TPSN Third Party Services, non-recurring""	""""	""Indoorclimate""	""""	""""	""""	""0,00""
""MSCS2A""	""MUN""	""Model CS2, indoor climate monitoring station for temperature, humidity and light, battery operated, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""69,00""
""MSCS2RYCI""	""MUN""	""Service Level for Model CS2, per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""""	""""	""""	""""	""8,32""
""MSCS2RYFS""	""MUN""	""Service Level for Model CS2, per year, full service""	""""	""ISNRY-FS InsightNow Network, recurring per year, full serv""	""""	""Indoorclimate""	""""	""""	""""	""17,82""
""MSCS3A""	""MUN""	""Model CS3, indoor climate monitoring station for temperature, humidity, light, noise, CO2 and presence, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""295,00""
""MSCS3RYCI""	""MUN""	""Service Level for Model CS3, per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""""	""""	""""	""""	""24,78""
""MSCS3RYFS""	""MUN""	""Service Level for Model CS3, per year, full service""	""""	""ISNRY-FS InsightNow Network, recurring per year, full serv""	""""	""""	""""	""""	""""	""53,10""
""MSCS4A""	""MUN""	""Model CS4, indoor climate monitoring station for temperature, humidity and CO2, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Indoorclimate""	""""	""""	""""	""294,00""
""MSCS4A-KIT1-3Y""	""MUN""	""MSCS4A with 3 year portal""	""""	""TPSN Third Party Services, non-recurring""	""""	""Indoorclimate""	""""	""""	""""	""0,00""
""MSCS4A-KIT2-3Y""	""MUN""	""MSCS4A x3, ZGD x 1, inclusief 3 jaar Portal""	""""	""TPSN Third Party Services, non-recurring""	""""	""""	""""	""""	""""	""0,00""
""MSCS4B""	""MUN""	""Model CS4 without display, indoor climate monitoring station for temperature, humidity and CO2, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Indoorclimate""	""""	""""	""""	""274,00""
""MSCS4B-KIT1-3Y""	""MUN""	""MSCS4B with 3 year portal""	""""	""TPSN Third Party Services, non-recurring""	""""	""Indoorclimate""	""""	""""	""""	""0,00""
""MSCS4RYCI""	""MUN""	""Service Level for Model CS4, per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""""	""""	""""	""""	""24,78""
""MSCS4RYFS""	""MUN""	""Service Level for Model CS4, per year, full service""	""""	""ISNRY-FS InsightNow Network, recurring per year, full serv""	""""	""""	""""	""""	""""	""53,10""
""MSCS5A""	""MUN""	""Model CS5, outdoor climate monitoring station for particulates (PM 2.5), temperature and humidity , non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""695,00""
""MSCS5RYCI""	""MUN""	""Service Level for Model CS5, per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""""	""""	""""	""""	""41,58""
""MSCS5RYFS""	""MUN""	""Service Level for Model CS5, per year, full service""	""""	""ISNRY-FS InsightNow Network, recurring per year, full serv""	""""	""""	""""	""""	""""	""89,10""
""MSCS6A-CO""	""MUN""	""Model CS6, indoor climate monitoring station for temperature, humidity, CO2,Voc, PM and CO, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Indoorclimate""	""""	""""	""""	""695,00""
""MSCSVLN-THC""	""MUN""	""Acquire data from indoor climate monitoring station, CS1..5, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""""	""""	""""	""""	""10,00""
""MSCSVLRY-THC""	""MUN""	""Acquire data from indoor climate monitoring station, CS1..5, yearly""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""""	""""	""""	""""	""49,00""
""MSELAA-LC4""	""MUN""	""Model ELA, EarthLeakage detection and Accu option for LC4 non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""80,00""
""MSGACCN-ADMI""	""MUN""	""Portal admin account, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""""	""""	""""	""""	""25,00""
""MSGACCN-USER""	""MUN""	""Portal user account, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""""	""""	""""	""""	""25,00""
""MSGACCN-VIEW""	""MUN""	""Portal view account, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""""	""""	""""	""""	""10,00""
""MSGACCRQ-ADMI""	""MUN""	""Portal admin account, per 3 months""	""""	""ISPRQ InsightNow Platform, recurring per 3 months""	""""	""""	""""	""""	""""	""22,50""
""MSGACCRQ-USER""	""MUN""	""Portal user account, per 3 months""	""""	""ISPRQ InsightNow Platform, recurring per 3 months""	""""	""""	""""	""""	""""	""15,00""
""MSGACCRQ-VIEW""	""MUN""	""Portal view account, per 3 months""	""""	""ISPRQ InsightNow Platform, recurring per 3 months""	""""	""""	""""	""""	""""	""3,00""
""MSGACCRY-ADMI""	""MUN""	""Portal admin account, per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""""	""""	""""	""""	""113,40""
""MSGACCRY-USER""	""MUN""	""Portal user account, per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""""	""""	""""	""""	""75,60""
""MSGACCRY-VIEW""	""MUN""	""Portal view account, per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""""	""""	""""	""""	""14,00""
""MSGAMQPN""	""MUN""	""Integratie Messagebus Koppeling, eenmalig""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""Noise""	""""	""""	""""	""1.000,00""
""MSGAMQPN""	""MUN""	""Integratie Messagebus Koppeling, eenmalig""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Noise""	""""	""""	""""	""1.000,00""
""MSGD1A""	""MUN""	""Model GD1, geluidDuider monitoring station class 2, for levels, 1/3 octave spectrum, audiostreaming, direction, peakdetection and suitable for running noise recognition ML models.  Battery capacity 18 hours, internal storage of 64 GB for measurements and  connectivity, IP76. Non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Noise""	""""	""""	""""	""1.395,00""
""MSGD1RYCI""	""MUN""	""Service Level for Model GD1, per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Noise""	""""	""""	""""	""125,00""
""MSGD1RYFS""	""MUN""	""Service Level for Model GD1, per year, full service""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Noise""	""""	""""	""""	""250,00""
""MSGD1RYFS - Lease""	""MUN""	""Service Level for Model GD1, per year, full service,lease""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Noise""	""""	""""	""""	""753,95""
""MSGD4A""	""MUN""	""Model GD4, monitoring station klasse 1, voor niveaus, 1/3 octave spectrum, audiostreaming, geluidgebeurtenis detectie, geluidrichting, geschikt voor  geluidsherkennings ML modellen en optioneel SoundScape modellen. Batterij capaciteit 30 uur, interne opslag 256 GB voor metingen en audio, 4G, Ethernet, WiFi, RS485/422, USB, GPS, onderstening van extern weerstation, IP64, eenmalig""	""""	""ISNN InsightNow Network, non recurring""	""""	""Noise""	""""	""""	""""	""3.795,00""
""MSGENTN-I0010""	""MUN""	""Portal license indoor network upto 10 sensors, incl. 2 accounts, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""""	""""	""""	""""	""75,00""
""MSGENTN-I0025""	""MUN""	""Portal license indoor network upto 25 sensors, incl. 5 accounts, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""""	""""	""""	""""	""145,00""
""MSGENTN-I0100""	""MUN""	""Portal license indoor network upto 100 sensors, incl. 5 accounts, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""""	""""	""""	""""	""495,00""
""MSGENTN-I0250""	""MUN""	""Portal license indoor network upto 250 sensors, incl. 10 accounts, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""""	""""	""""	""""	""995,00""
""MSGENTN-I0251""	""MUN""	""Portal license indoor network upto 1000 sensors, incl. 25 accounts, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""""	""""	""""	""""	""995,00""
""MSGENTN-M005A002""	""MUN""	""Portal gebruik buiten netwerk tot 5 meters, incl. 2 accounts, eenmalig""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""Noise""	""""	""""	""""	""250,00""
""MSGENTN-M010A015""	""MUN""	""Portal gebruik buiten netwerk tot 10 meters, incl. 15 accounts, eenmalig""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Noise""	""""	""""	""""	""750,00""
""MSGENTN-M011A050""	""MUN""	""Portal gebruik buiten netwerk vanaf 10 meters, incl. 50 accounts, eenmalig""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Noise""	""""	""""	""""	""1.500,00""
""MSGENTN-O0001""	""MUN""	""Portal license outdoor network with 1 sensor, incl. 1 account, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""""	""""	""""	""""	""115,50""
""MSGENTN-O0010""	""MUN""	""Portal license outdoor network upto 10 sensors, incl. 2 accounts, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""""	""""	""""	""""	""288,75""
""MSGENTN-O001A""	""MUN""	""Portal license outdoor network with 1 account, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""""	""""	""""	""""	""100,00""
""MSGENTN-O0025""	""MUN""	""Portal license outdoor network upto 25 sensors, incl. 5 accounts, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""""	""""	""""	""""	""577,50""
""MSGENTN-O005A""	""MUN""	""Portal license outdoor network with 5 accounts, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""250,00""
""MSGENTN-O0100""	""MUN""	""Portal license outdoor network upto 100 sensors, incl. 5 accounts, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""""	""""	""""	""""	""1.000,00""
""MSGENTN-O010A""	""MUN""	""Portal license outdoor network with 10 accounts, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""400,00""
