""Prd.code (SKU)""	""Company""	""Naam intern""	""Standaard leverancier""	""Productgroep""	""Werksoort""	""Kostenplaats""	""Uursoort""	""Kortingsgroep""	""Valuta""	""Verkoopprijs product (standaard)""
""MSLV5RYCI-D712-4L05""	""MUN""	""Service Level for Model LV5, per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Water""	""""	""""	""""	""40,09""
""MSLV6A-D712-4L05""	""MUN""	""Model LV6, NB-IoT water level meter with absolute ceramic pressure transmitter 0.8-1.4 bar (Huba D712 sensor; 25 mm diam.), 5 meter cable, 1 MB p/month roaming SIM, data setup in portal, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""483,00""
""MSLV6A-D712-4L10""	""MUN""	""Model LV6, NB-IoT water level meter with absolute ceramic pressure transmitter 0.8-1.4 bar (Huba D712 sensor; 25 mm diam.), 10 meter cable, 1 MB p/month roaming SIM, data setup in portal, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""508,00""
""MSLV6A-D713-10L10""	""MUN""	""Model LV6, NB-IoT water level meter with absolute ceramic pressure transmitter 0.8-2.0 bar (Huba D713 sensor; 18 mm diam.), 10 meter cable, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""523,00""
""MSLV6A-PRECIP-BARE""	""MUN""	""Model LV6, NB-IoT precipitation, temp/humidity/barometer, SIM, portal, without sensor, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""350,00""
""MSLV6A-SOIL""	""MUN""	""Model LV6, NB-IoT soil humidity, SIM, portal, including TEROS-10, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""543,00""
""MSLV6A-SOIL-BARE""	""MUN""	""Model LV6, NB-IoT soil humidity, SIM, portal, without sensor, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""350,00""
""MSLV6RYCI-D712-4L05""	""MUN""	""Service Level for Model LV6 per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Water""	""""	""""	""""	""38,47""
""MSLV7A-D712-4L05""	""MUN""	""Model LV7, LTE-M or NB-IoT water level meter with absolute ceramic pressure transmitter 0.8-1.4 bar (Huba D712 sensor; 25 mm diam.), 5 meter cable, roaming SIM, data setup in portal, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""510,00""
""MSLV7A-D713-10L10""	""MUN""	""Model LV7, LTE-M or NB-IoT water level meter with absolute ceramic pressure transmitter 0.8-2.0 bar (Huba D713 sensor; 18 mm diam.), 10 meter cable, roaming SIM, data setup in portal, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""570,00""
""MSLV7A-D713-2x4L05""	""MUN""	""Model LV7, LTE-M or NB-IoT water level meter with 2 absolute ceramic pressure transmitters 0.8-1.4 bar (Huba D713 sensors; 18 mm diam.), each 5 meter cable, roaming SIM, 2x data setup in portal, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""1.010,00""
""MSLV7A-D713-4L05""	""MUN""	""Model LV7, LTE-M or NB-IoT water level meter with absolute ceramic pressure transmitter 0.8-1.4 bar (Huba D713 sensor; 18 mm diam.), 5 meter cable, roaming SIM, data setup in portal, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""550,00""
""MSLV7A-D713-4L10""	""MUN""	""Model LV7, LTE-M or NB-IoT water level meter with absolute ceramic pressure transmitter 0.8-1.4 bar (Huba D713 sensor; 18 mm diam.), 10 meter cable, roaming SIM, data setup in portal, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""570,00""
""MSLV7RQX-D713-10L10""	""MUN""	""Extended manufacturer warranty for MSLV7A-D713-10L10 for a maximum of 5 years, Munisense culpable malfunction only, based on one-off price, per quarter""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Water""	""""	""""	""""	""45,60""
