""Volgnr.""	""Debiteur nr.""	""Debiteur""	""Project""	""Intern steekwoord""	""account manager""	""Factuurdatum""	""Periode""	""Tot. vrk. ex. BTW (CC)""	""Tot. vrk. in. BTW (CC)""	""Betaald (CC)""	""Openstaand (CC)""
""VFA2101917""	""G0000""	""Gemeente Eindhoven""	""SCA180278 Uitbreiding geluidmeetnet Eindhoven""	""Uitbreiding geluidmeetnet Eindhoven""	""George Boersma""	""30-09-2021""	""2021/09""	""40.628,71""	""49.160,74""	""49.160,74""	""0,00""
""VFA2101916""	""DE1600068""	""AKRON""	""SCA190360 ARCELORMITTAL GENT 3xNP2 (Schrootpark + Phoenix)""	""""	""""	""01-10-2021""	""2021/10""	""1.305,00""	""1.305,00""	""1.305,00""	""0,00""
""VFA2101915""	""DE1600069""	""MIP Electronics""	""SCA180271 Helsingin Kaivohuone Oy-horecasense-mssp8i40322""	""""	""Mirjam Stevens""	""30-09-2021""	""2021/09""	""167,00""	""167,00""	""167,00""	""0,00""
""VFA2101914""	""DE2000242""	""Rizzani De Eccher""	""""	""""	""""	""30-09-2021""	""2021/09""	""407,00""	""492,47""	""492,47""	""0,00""
""VFA2101913""	""DE1600068""	""AKRON""	""""	""""	""""	""30-09-2021""	""2021/09""	""200,00""	""200,00""	""200,00""	""0,00""
""VFA2101912""	""DE1600068""	""AKRON""	""SCA210460 AKRON GENT 10x SPC""	""""	""George Boersma""	""30-09-2021""	""2021/09""	""4.200,00""	""4.200,00""	""4.200,00""	""0,00""
""VFA2101911""	""DE2000241""	""TB-Expertise BV""	""""	""""	""George Boersma""	""29-09-2021""	""2021/09""	""190,00""	""229,90""	""229,90""	""0,00""
""VFA2101910""	""DE1900232""	""Nedmag B.V.""	""SCA210517 1xNP4""	""""	""Irene Barten""	""29-09-2021""	""2021/09""	""4.817,78""	""5.829,51""	""5.829,51""	""0,00""
""VFA2101909""	""H0050""	""Politika vzw""	""""	""""	""Irene Barten""	""29-09-2021""	""2021/09""	""895,00""	""895,00""	""895,00""	""0,00""
""VFA2101908""	""DE1900232""	""Nedmag B.V.""	""""	""""	""Irene Barten""	""28-09-2021""	""2021/09""	""2.602,00""	""3.148,42""	""3.148,42""	""0,00""
""VFA2101907""	""DE2100257""	""Hanab Telecom Netwerk Solutions bv""	""SCA210518 6x SPC en 6xNP4- Floriade""	""""	""George Boersma""	""27-09-2021""	""2021/09""	""44.572,24""	""53.932,41""	""53.932,41""	""0,00""
""VFA2101906""	""DE1600018""	""Oasen""	""""	""""	""Irene Barten""	""27-09-2021""	""2021/09""	""7.200,00""	""8.712,00""	""8.712,00""	""0,00""
""VFA2101905""	""DE1700121""	""Gemeente Purmerend""	""""	""""	""Irene Barten""	""27-09-2021""	""2021/09""	""2.470,00""	""2.988,70""	""2.988,70""	""0,00""
""VFA2101904""	""DE1700081""	""Gemeente 's-Hertogenbosch""	""""	""""	""George Boersma""	""27-09-2021""	""2021/09""	""3.840,00""	""4.646,40""	""4.646,40""	""0,00""
