""Volgnr.""	""Debiteur nr.""	""Debiteur""	""Project""	""Intern steekwoord""	""account manager""	""Factuurdatum""	""Periode""	""Tot. vrk. ex. BTW (CC)""	""Tot. vrk. in. BTW (CC)""	""Betaald (CC)""	""Openstaand (CC)""
""""	""A0010""	""Peutz""	""SCA230680 Nestgeluiden 2 jr""	""afrekening Q4-> in afwachting WvdM goedkeuring""	""""	""""	""""	""8.174,70""	""9.891,39""	""0,00""	""9.891,39""
""""	""A0000""	""Aveco de Bondt B.V.""	""SCA170095 AVECO_portal-projectnummer 215753 250""	""portalkosten DEC ->  per 1 jan""	""Hans Mulder""	""""	""""	""39.600,00""	""47.916,00""	""0,00""	""47.916,00""
""""	""A0000""	""Aveco de Bondt B.V.""	""SCA250886 Periodieke kosten Vallei en Veluwe""	""Periodieke kosten Vallei en Veluwe-> okt-dec concept naar RM 19/12""	""Michelle Klijn""	""""	""""	""27.591,68""	""33.385,93""	""0,00""	""33.385,93""
""""	""A0010""	""Peutz""	""SCA230680 Nestgeluiden 2 jr""	""afrekening Q3-> in afwachting WvdM goedkeuring""	""""	""""	""""	""8.174,70""	""9.891,39""	""0,00""	""9.891,39""
""""	""DE2200307""	""Socotec Geotechnics""	""SCA250867 HDSR - 25SP0966 - Lease""	""2x LV8 10/10 van WRIJ (Koop) naar HDSR (lease)""	""Hans Mulder""	""""	""""	""-1.027,23""	""-1.242,95""	""0,00""	""-1.242,95""
""""	""A0000""	""Aveco de Bondt B.V.""	""SCA250886 Periodieke kosten Vallei en Veluwe""	""5x LV8 20L20 Vallei en Veluwe-> prijs navragen 20/20 voor vallei en veluwe""	""Michelle Klijn""	""""	""""	""2.095,05""	""2.535,01""	""0,00""	""2.535,01""
""""	""DE2100274""	""DCMR Milieudienst Rijnmond""	""SCA240781 5x GD1-Pilot Oude Haven""	""periodieke kosten 2026 tot 1-5-26-> offerte voor 5 maanden naar J.Potter""	""""	""""	""""	""2.757,85""	""3.337,00""	""0,00""	""3.337,00""
""""	""DE2000235""	""Stichting Waterhouderij Walcheren""	""SCA200386 19xLV5-7 + 5x QU7""	""periodieke kosten 1/10-1/10 -> info Thaem van Aequator voor verlening""	""""	""""	""""	""566,76""	""685,78""	""0,00""	""685,78""
""VFA2504956""	""DE1600068""	""AKRON""	""SCA240804 Aanbesteding Gent/Leuven NP9+GD1""	""Nudging-> discussie over korting-> half dec factuur 29.475.- min 15%=12,5%""	""George Boersma""	""22-12-2025""	""2025/12""	""25.792,50""	""25.792,50""	""0,00""	""25.792,50""
""VFA2504955""	""A0000""	""Aveco de Bondt B.V.""	""""	""5x LV8 20L20 Vechtstromen-> vallei en veluwe""	""Michelle Klijn""	""22-12-2025""	""2025/12""	""-2.095,05""	""-2.535,01""	""0,00""	""-2.535,01""
""VFA2504954""	""DE2000248""	""Aarhus Vand Forsyning A/S""	""SCA200436 10x Watermeters""	""Batterij vervanging-> intern voor afboeken vrd""	""""	""22-12-2025""	""2025/12""	""0,00""	""0,00""	""0,00""	""0,00""
""VFA2504953""	""G0033""	""Gemeente Rotterdam""	""SCA230667 Dynamische displays tbv zomeroffensief""	""info GB per.kn.""	""""	""19-12-2025""	""2025/12""	""5.240,00""	""6.340,40""	""0,00""	""6.340,40""
""VFA2504952""	""G0032""	""Gemeente Amersfoort""	""SCA250902 2 GD1 en 2 SP7 (mobiele) geluidmeters""	""2 vaste en 2 mobiele geluidmeters-> factuur 2025""	""Ron Wittebol""	""19-12-2025""	""2025/12""	""12.839,00""	""15.535,19""	""0,00""	""15.535,19""
""VFA2504951""	""DE1600063""	""Arcadis Nederland BV""	""SCA220588 Noorderzijlvest- onderh's & portal-NL2810620351""	""in afwachting van uitvoering service-> fakt einde dec""	""""	""19-12-2025""	""2025/12""	""1.930,40""	""2.335,78""	""0,00""	""2.335,78""
""VFA2504950""	""DE2500409""	""Omgevingsdienst IJsselland""	""""	""Verhuur SP7 voor monitoring geluid oud en nieuw""	""Ron Wittebol""	""19-12-2025""	""2025/12""	""585,00""	""707,85""	""0,00""	""707,85""
""VFA2504949""	""DE1900219""	""Wiertsema & Partners Raadgevend Ingenieurs""	""""	""RMA-W18 T. van Slooten""	""""	""19-12-2025""	""2025/12""	""335,00""	""405,35""	""0,00""	""405,35""
""VFA2504948""	""A0000""	""Aveco de Bondt B.V.""	""""	""Div RMA-W26""	""""	""19-12-2025""	""2025/12""	""59,00""	""71,39""	""0,00""	""71,39""
""VFA2504947""	""A0000""	""Aveco de Bondt B.V.""	""""	""RMA-W27  Div RMA""	""""	""19-12-2025""	""2025/12""	""153,00""	""185,13""	""0,00""	""185,13""
""VFA2504946""	""A0000""	""Aveco de Bondt B.V.""	""""	""RMA-W28 div RMA""	""""	""19-12-2025""	""2025/12""	""120,00""	""145,20""	""0,00""	""145,20""
""VFA2504945""	""DE2500408""	""Gemeente Amsterdam Diemerpark""	""SCA250900 8 x LV8 4-5 en 2 x LV8 10-10- Gem.Amsterdam-Diemerpark""	""8 x LV8 4-5 en 2 x LV8 10-10""	""Ron Wittebol""	""19-12-2025""	""2025/12""	""6.993,00""	""8.461,53""	""0,00""	""8.461,53""
""VFA2504944""	""A0000""	""Aveco de Bondt B.V.""	""SCA250886 Periodieke kosten Vallei en Veluwe""	""5x LV8 20L20 Vechtstromen-> vallei en veluwe""	""Michelle Klijn""	""19-12-2025""	""2025/12""	""2.095,05""	""2.535,01""	""0,00""	""2.535,01""
""VFA2504943""	""DE1600022""	""PWN Waterleidingbedrijf NH""	""SCA240811 PWN_Verzamelcontract""	""7x LV8 4L05-> in afwachting inkoopordernummer 19/12 RW""	""Michelle Klijn""	""19-12-2025""	""2025/12""	""5.215,00""	""6.310,15""	""0,00""	""6.310,15""
""VFA2504942""	""A0019""	""Eco Environmental & Acoustic Engineering""	""SCA180258 10xSPA""	""Klasse 1 meters Inruil  8xSPC+ 1 x GD1""	""George Boersma""	""19-12-2025""	""2025/12""	""25.215,00""	""25.215,00""	""0,00""	""25.215,00""
""VFA2504941""	""G0018""	""Gemeente Delft""	""SCA160016 Gemeente Delft, geluid binnenstad""	""1x SP7 geluidmonitor station Doelenplein""	""Michelle Klijn""	""19-12-2025""	""2025/12""	""3.328,00""	""4.026,88""	""0,00""	""4.026,88""
""VFA2504940""	""DE1800176""	""Sweco Nederland B.V.""	""""	""Div RMA-> niet via portal""	""""	""19-12-2025""	""2025/12""	""85,00""	""102,85""	""0,00""	""102,85""
""VFA2504939""	""DE2400376""	""Gemeente Haarlem""	""SCA240819 Aanbesteding Haarlem p.kw.""	""Aanbesteding Haarlem-> 25x uitgeleverd fc tvoor vrd. nog niet te factureren aan haarlem""	""Hans Mulder""	""19-12-2025""	""2025/12""	""0,00""	""0,00""	""0,00""	""0,00""
""VFA2504938""	""DE2100280""	""Story Event Engineering""	""SCA230693 9 x NP4""	""Periodieke kosten 1/9-1/9-> aanpassing naar 5 stuks""	""""	""19-12-2025""	""2025/12""	""6.505,31""	""7.871,43""	""0,00""	""7.871,43""
""VFA2504937""	""DE2400376""	""Gemeente Haarlem""	""SCA240819 Aanbesteding Haarlem p.kw.""	""Aanbesteding Haarlem Q4-2025-> voor 15 dec versturen""	""""	""15-12-2025""	""2025/12""	""-10.123,00""	""-12.248,83""	""-12.248,83""	""0,00""
""VFA2504936""	""DE2400376""	""Gemeente Haarlem""	""SCA240819 Aanbesteding Haarlem p.kw.""	""Aanbesteding Haarlem Q4-2025-> voor 15 dec versturen""	""""	""15-12-2025""	""2025/12""	""8.323,00""	""10.070,83""	""0,00""	""10.070,83""
""VFA2504935""	""DE1600068""	""AKRON""	""SCA210460 AKRON GENT 10x SPC""	""Periodieke kosten Q4-2025 achteraf""	""George Boersma""	""15-12-2025""	""2025/12""	""1.237,50""	""1.237,50""	""0,00""	""1.237,50""
""VFA2504934""	""DE1600068""	""AKRON""	""SCA240804 Aanbesteding Gent/Leuven NP9+GD1""	""Q3+Q4 periodieke kosten achteraf -> versrturen 15-12""	""Mirjam Stevens""	""15-12-2025""	""2025/12""	""33.256,07""	""33.256,07""	""0,00""	""33.256,07""
""VFA2504933""	""G0017""	""Gemeente Diemen""	""""	""Montage eigen meters en verhuur accupacks""	""Ron Wittebol""	""15-12-2025""	""2025/12""	""635,00""	""768,35""	""0,00""	""768,35""
""VFA2504932""	""DE2200307""	""Socotec Geotechnics""	""SCA250867 HDSR - 25SP0966 - Lease""	""HDSR kwartaalfactuur 11/9-11/12-> info Matthew Pegels""	""Irene Barten""	""15-12-2025""	""2025/12""	""9.712,50""	""11.752,13""	""0,00""	""11.752,13""
""VFA2504931""	""DE2400376""	""Gemeente Haarlem""	""SCA240819 Aanbesteding Haarlem p.kw.""	""Meerwerk portal Aanbesteding Haarlem""	""Michelle Klijn""	""12-12-2025""	""2025/12""	""2.760,00""	""3.339,60""	""0,00""	""3.339,60""
""VFA2504930""	""DE1900193""	""Ingenieurs Bureau Land""	""SCA240825 78761-project GWM Gelderland deel 1""	""per.kn. Q4-2025-> achteraf eind dec info KBusstra""	""""	""12-12-2025""	""2025/12""	""13.069,30""	""15.813,85""	""0,00""	""15.813,85""
""VFA2504929""	""DE2400377""	""Ingenieursbureau Kragten bv""	""SCA240820 Kragten-Verzamelcontract""	""2 x LV8 4-5  Aanvulling op VOA 2502309-> credit ivm retour""	""Ron Wittebol""	""12-12-2025""	""2025/12""	""-1.378,00""	""-1.667,38""	""-1.667,38""	""0,00""
""VFA2504928""	""DE2400376""	""Gemeente Haarlem""	""SCA240819 Aanbesteding Haarlem p.kw.""	""Aanbesteding Haarlem Q4-2025-> voor 15 dec versturen""	""""	""12-12-2025""	""2025/12""	""10.123,00""	""12.248,83""	""12.248,83""	""0,00""
""VFA2504927""	""DE1600068""	""AKRON""	""""	""Maatwerk projector zoals in de Oude Haven-> half den factuur-> lijn 2 4 maanden ipv 6maanden""	""George Boersma""	""12-12-2025""	""2025/12""	""8.065,50""	""8.065,50""	""0,00""	""8.065,50""
""VFA2504926""	""DE1900219""	""Wiertsema & Partners Raadgevend Ingenieurs""	""SCA240762 Wiertsema_Verzamelcontract (p.kw.)""	""10x LV8 4L05""	""Michelle Klijn""	""12-12-2025""	""2025/12""	""5.669,60""	""6.860,22""	""0,00""	""6.860,22""
""VFA2504925""	""DE1900219""	""Wiertsema & Partners Raadgevend Ingenieurs""	""SCA240762 Wiertsema_Verzamelcontract (p.kw.)""	""Div RMA-W41""	""""	""12-12-2025""	""2025/12""	""98,80""	""119,55""	""0,00""	""119,55""
""VFA2504924""	""A0008""	""LBP Sight""	""SCA210540 2xNP2""	""msnp2f70124  Start niet meer op""	""""	""12-12-2025""	""2025/12""	""410,00""	""496,10""	""0,00""	""496,10""
""VFA2504923""	""A0000""	""Aveco de Bondt B.V.""	""""	""RMA-W27  Div RMA  intern ivm vrd""	""""	""18-12-2025""	""2025/12""	""0,00""	""0,00""	""0,00""	""0,00""
""VFA2504922""	""A0000""	""Aveco de Bondt B.V.""	""""	""RMA-W28 div RMA-intern voor voorraad""	""""	""18-12-2025""	""2025/12""	""0,00""	""0,00""	""0,00""	""0,00""
""VFA2504921""	""DE1600068""	""AKRON""	""SCA200395 Brussel Buda Brussels""	""periode 01-12-2025 tot 01-12-2026 -> crediteren geen PO-nummer""	""George Boersma""	""08-12-2025""	""2025/12""	""-429,32""	""-429,32""	""-429,32""	""0,00""
""VFA2504920""	""DE2100288""	""Welding Group Piping en Montage BV""	""SCA210541 3xNP4""	""periode 22-12 tot 22-12""	""Irene Barten""	""08-12-2025""	""2025/12""	""2.680,60""	""3.243,53""	""0,00""	""3.243,53""
""VFA2504919""	""DE1800186""	""RUD Utrecht""	""SCA200446 SPC""	""Periodieke kosten 31-12 tot 31-12""	""""	""08-12-2025""	""2025/12""	""1.290,37""	""1.561,35""	""0,00""	""1.561,35""
""VFA2504918""	""DE1800186""	""RUD Utrecht""	""SCA180298 2 Complete klasse 1 geluidsmeetsets""	""periode 20-12 tot 20-12""	""""	""08-12-2025""	""2025/12""	""2.930,27""	""3.545,63""	""0,00""	""3.545,63""
""VFA2504917""	""DE1800185""	""Omgevingsdienst Veluwe""	""SCA180299 Complete klasse 1 geluidsmeetset""	""periode 13-12 tot 13-12""	""Irene Barten""	""08-12-2025""	""2025/12""	""1.966,04""	""2.378,91""	""2.378,91""	""0,00""
""VFA2504916""	""DE2000255""	""Omgevingsdienst Twente""	""SCA240824 1 x SP7-OGD Twente""	""periode 16-12 tot 16-12""	""Irene Barten""	""08-12-2025""	""2025/12""	""1.351,82""	""1.635,70""	""1.635,70""	""0,00""
""VFA2504915""	""DE1600038""	""Omgevingsdienst Noordzeekanaalgebied (NZKG)""	""SCA210535 1xSPC""	""periode 08-12 tot 08-12-> nw inkoopnummer opgevraagd""	""Mirjam Stevens""	""22-12-2025""	""2025/12""	""2.070,17""	""2.504,91""	""0,00""	""2.504,91""
""VFA2504914""	""DE1600069""	""MIP Electronics""	""SCA170212 Class 1 system for city of Kuopio""	""Periodieke kosten 12 maanden""	""Mirjam Stevens""	""08-12-2025""	""2025/12""	""3.956,66""	""3.956,66""	""0,00""	""3.956,66""
""VFA2504913""	""A0000""	""Aveco de Bondt B.V.""	""SCA250886 Periodieke kosten Vallei en Veluwe""	""Periodieke kosten Vallei en Veluwe-> nw debet berekening hele maanden""	""Michelle Klijn""	""08-12-2025""	""2025/12""	""14.261,76""	""17.256,73""	""0,00""	""17.256,73""
""VFA2504912""	""DE2100281""	""Air""	""SCA210523 2x Horecasense""	""Periodieke kosten 12 maanden creditering VFA2504788""	""Irene Barten""	""08-12-2025""	""2025/12""	""-501,90""	""-607,30""	""-607,30""	""0,00""
""VFA2504911""	""A0000""	""Aveco de Bondt B.V.""	""SCA250886 Periodieke kosten Vallei en Veluwe""	""Periodieke kosten Vallei en Veluwe-> concept naar Ralph""	""Michelle Klijn""	""08-12-2025""	""2025/12""	""-13.242,60""	""-16.023,55""	""-16.023,55""	""0,00""
""VFA2504910""	""DE2400347""	""Maessen Moto World GmbH""	""SCA240826 circuit Meppen 3 meters""	""periode 20-12-2025 tot 20-12-2026/ carry-in  periode 01-01-2026 tot 01-01-2027""	""""	""05-12-2025""	""2025/12""	""3.992,59""	""3.992,59""	""3.992,59""	""0,00""
""VFA2504909""	""DE1600010""	""Gemeente Roermond""	""SCA190377 NP4-msnp4f70007+msnp4f70008""	""periode 27-12-2025 tot 27-12-2026""	""Omar Jarmohamed""	""05-12-2025""	""2025/12""	""3.539,50""	""4.282,80""	""0,00""	""4.282,80""
""VFA2504908""	""DE2200307""	""Socotec Geotechnics""	""SCA230688 Zaanstad-Lease 5 jaar-298x LV8""	""Defecte PCB""	""Irene Barten""	""05-12-2025""	""2025/12""	""0,00""	""0,00""	""0,00""	""0,00""
""VFA2504907""	""DE2400360""	""Buro Hoogstraat B.V.""	""SCA240792 BuroHoogstraat-Verzamelcontract""	""RMA-W37 en RMA-W38""	""""	""05-12-2025""	""2025/12""	""39,00""	""47,19""	""47,19""	""0,00""
""VFA2504906""	""DE2400360""	""Buro Hoogstraat B.V.""	""SCA240792 BuroHoogstraat-Verzamelcontract""	""10 x LV8 4-5 en 4 x LV8 10-10""	""Ron Wittebol""	""05-12-2025""	""2025/12""	""8.831,80""	""10.686,48""	""0,00""	""10.686,48""
""VFA2504905""	""DE2200290""	""Grondslag""	""""	""Installatie uitleg""	""Ron Wittebol""	""05-12-2025""	""2025/12""	""316,00""	""382,36""	""0,00""	""382,36""
""VFA2504904""	""A0007""	""Omgevingsdienst Brabant Noord""	""""	""Huur 3 x SP7 met accupack voor  04 december t/m 05 januari.""	""Ron Wittebol""	""05-12-2025""	""2025/12""	""3.331,50""	""4.031,12""	""0,00""	""4.031,12""
""VFA2504903""	""DE2300319""	""Stantec""	""SCA230745 Stantec-Verzamelcontract""	""1 x LV8 4-5""	""Ron Wittebol""	""05-12-2025""	""2025/12""	""651,67""	""788,52""	""0,00""	""788,52""
""VFA2504902""	""DE1900193""	""Ingenieurs Bureau Land""	""SCA200440 Aanbesteding Zuid Holland-Lease-IBL77940.01""	""5x LV8 4L05 RESERVEVOORRAAD""	""Michelle Klijn""	""05-12-2025""	""2025/12""	""0,00""	""0,00""	""0,00""	""0,00""
""VFA2504901""	""DE1600068""	""AKRON""	""SCA210519 Umicore""	""periode 01-11-2025 tot 01-11-2026""	""George Boersma""	""30-11-2025""	""2025/12""	""7.020,06""	""7.020,06""	""0,00""	""7.020,06""
""VFA2504900""	""DE1600006""	""Gemeente Hengelo""	""SCA170208 Horecasensekit gemente Hengelo""	""periode 14-12-2025 tot 14-12-2026""	""Mirjam Stevens""	""01-12-2025""	""2025/12""	""214,66""	""259,74""	""259,74""	""0,00""
""VFA2504899""	""DE1600006""	""Gemeente Hengelo""	""SCA180296 Losse gateway zonder SIM""	""Periodieke kosten 18/5-18/5""	""Mirjam Stevens""	""01-12-2025""	""2025/12""	""64,25""	""77,74""	""77,74""	""0,00""
""VFA2504898""	""G0000""	""Gemeente Eindhoven""	""SCA240813 1 x SPC met extra 5m kabel""	""periode 05-12-2025 tot 05-12-2026 -> info FK 2 meters in portal 1x in SCA""	""""	""01-12-2025""	""2025/12""	""1.804,95""	""2.183,99""	""0,00""	""2.183,99""
""VFA2504897""	""DE1800188""	""Gemeente Deurne""	""SCA180302 2x vaste meetopstelling Markt - 1x mobiele set""	""periodieke kosten voor het 8e jaar in rekening""	""""	""01-12-2025""	""2025/12""	""3.779,29""	""4.572,94""	""4.572,94""	""0,00""
""VFA2504896""	""G0014""	""Gemeente Amsterdam""	""SCA230737 1x Model ID1, outdoor information display P4""	""periode 01-12-2025 tot 01-12-2026""	""""	""01-12-2025""	""2025/12""	""1.119,04""	""1.354,04""	""0,00""	""1.354,04""
""VFA2504895""	""DE2100274""	""DCMR Milieudienst Rijnmond""	""SCA240821 Rotterdam oude haven (pilot)""	""Nudging oude haven (pilot)""	""""	""01-12-2025""	""2025/12""	""3.150,00""	""3.811,50""	""0,00""	""3.811,50""
""VFA2504894""	""DE2100286""	""Boven de Planken B.V.""	""SCA210538 Horecasenseset""	""periode 10-12-2025 tot 10-12-2026""	""""	""01-12-2025""	""2025/12""	""359,00""	""434,39""	""0,00""	""434,39""
""VFA2504893""	""DE1600068""	""AKRON""	""SCA200395 Brussel Buda Brussels""	""periode 01-12-2025 tot 01-12-2026 -> crediteren geen PO-nummer""	""George Boersma""	""01-12-2025""	""2025/12""	""429,32""	""429,32""	""429,32""	""0,00""
""VFA2504892""	""A0000""	""Aveco de Bondt B.V.""	""SCA170095 AVECO_portal-projectnummer 215753 250""	""PORTALKOSTEN NOV-> PER 1-dec -> CONCEPT naar Ralph-> 8 dec naar admin en doorboeken""	""Hans Mulder""	""30-11-2025""	""2025/11""	""46.022,42""	""55.687,13""	""0,00""	""55.687,13""
""VFA2504891""	""DE1600068""	""AKRON""	""SCA220610 Citribel-3x SPC""	""3x SPC Citribel per.kn. 1/12-1/12-> versturen 1-12""	""""	""01-12-2025""	""2025/12""	""2.960,66""	""2.960,66""	""0,00""	""2.960,66""
""VFA2504890""	""DE1600068""	""AKRON""	""SCA170195 DP WORLD / LCT LIEGE - 1x SPA""	""periodieke kosten 1/12-1/12--> versturen 1 dec""	""George Boersma""	""01-12-2025""	""2025/12""	""841,35""	""841,35""	""0,00""	""841,35""
""VFA2504889""	""DE2200307""	""Socotec Geotechnics""	""SCA250896 Amsterdamse Kademuren LEASE""	""Amsterdamse Kademuren LEASE-> intern""	""Michelle Klijn""	""01-12-2025""	""2025/12""	""0,00""	""0,00""	""0,00""	""0,00""
""VFA2504888""	""DE1600068""	""AKRON""	""""	""Vervangende ZGD en spare voor horeca sense Leuven""	""""	""28-11-2025""	""2025/11""	""0,00""	""0,00""	""0,00""	""0,00""
""VFA2504887""	""DE1600068""	""AKRON""	""SCA250895 1x Horecasense Basis-café/groep COLLECTIF METTEURS EN PIECES""	""1x Horecasense Basis-café/groep COLLECTIF METTEURS EN PIECES""	""Michelle Klijn""	""28-11-2025""	""2025/11""	""1.075,50""	""1.075,50""	""0,00""	""1.075,50""
""VFA2504886""	""DE2300342""	""Nepocon BV""	""""	""3 x batterij LV8 service""	""Ron Wittebol""	""28-11-2025""	""2025/11""	""0,00""	""0,00""	""0,00""	""0,00""
""VFA2504885""	""DE1900219""	""Wiertsema & Partners Raadgevend Ingenieurs""	""""	""RMA-W22 (CHP)""	""""	""28-11-2025""	""2025/11""	""600,00""	""726,00""	""0,00""	""726,00""
""VFA2504884""	""DE1800152""	""BOOT organiserend ingenieursburo B.V.""	""""	""SBA250687 -> info JT voor facturatie""	""Irene Barten""	""28-11-2025""	""2025/11""	""310,20""	""375,34""	""375,34""	""0,00""
""VFA2504883""	""DE2300336""	""WSP Nederland B.V""	""SCA230695 WSP_Verzamelcontract""	""1 x LV8 4-5""	""Ron Wittebol""	""28-11-2025""	""2025/11""	""740,33""	""895,80""	""0,00""	""895,80""
""VFA2504882""	""DE1600012""	""Waterschap Rijn en IJssel""	""""	""RMA W-08""	""""	""28-11-2025""	""2025/11""	""401,00""	""485,21""	""485,21""	""0,00""
""VFA2504881""	""DE1900219""	""Wiertsema & Partners Raadgevend Ingenieurs""	""""	""RMA-W15  Diverse RMA""	""""	""28-11-2025""	""2025/11""	""115,00""	""139,15""	""0,00""	""139,15""
""VFA2504880""	""DE2000251""	""THV RoTS""	""SCA240753 THV-RoTSverzamelSCA (p.kw.)""	""Meetnet THV Rots nieuwe divers ( ond. ronde )""	""Ron Wittebol""	""28-11-2025""	""2025/11""	""5.375,15""	""5.375,15""	""0,00""	""5.375,15""
""VFA2504879""	""DE1600041""	""ATKB""	""SCA240808 1 QU watermeter  zuurstofmeting""	""2 x Zuurstofmeters""	""Ron Wittebol""	""28-11-2025""	""2025/11""	""3.472,50""	""4.201,73""	""0,00""	""4.201,73""
""VFA2504878""	""DE1800176""	""Sweco Nederland B.V.""	""SCA240756 SWECO-NL Verzamelcontract- (p.kw.)""	""2 x LV8 4-5""	""Ron Wittebol""	""28-11-2025""	""2025/11""	""1.076,10""	""1.302,08""	""1.302,08""	""0,00""
""VFA2504877""	""DE2400363""	""Dryp A/S""	""SCA240798 16x+8x neerslagmeters""	""periodieke kosten 20/8-20/8-> debet 50% korting""	""""	""25-11-2025""	""2025/11""	""803,60""	""803,60""	""0,00""	""803,60""
""VFA2504876""	""DE2400363""	""Dryp A/S""	""SCA240798 16x+8x neerslagmeters""	""periodieke kosten 20/8-20/8 -. credit 12 mnd""	""""	""25-11-2025""	""2025/11""	""-1.607,21""	""-1.607,21""	""-1.607,21""	""0,00""
""VFA2504875""	""DE1600068""	""AKRON""	""SCA210520 Horecasense Brussel""	""periodieke kosten   14/10-31/12-""	""""	""25-11-2025""	""2025/11""	""50,18""	""50,18""	""0,00""	""50,18""
""VFA2504874""	""DE2400377""	""Ingenieursbureau Kragten bv""	""SCA240820 Kragten-Verzamelcontract""	""2 waterspanningsmeter""	""Ron Wittebol""	""24-11-2025""	""2025/11""	""2.290,00""	""2.770,90""	""2.770,90""	""0,00""
""VFA2504873""	""DE1900219""	""Wiertsema & Partners Raadgevend Ingenieurs""	""SCA240762 Wiertsema_Verzamelcontract (p.kw.)""	""35x LV8 10L15""	""Michelle Klijn""	""24-11-2025""	""2025/11""	""22.279,95""	""26.958,74""	""0,00""	""26.958,74""
""VFA2504872""	""DE2100275""	""Aeres Milieu""	""SCA230670 Aeres-Verzamelcontract""	""2 x LV8 4-5""	""Ron Wittebol""	""24-11-2025""	""2025/11""	""1.378,00""	""1.667,38""	""0,00""	""1.667,38""
""VFA2504871""	""DE1600068""	""AKRON""	""""	""1x maatwerk lange paal Leuven""	""Michelle Klijn""	""24-11-2025""	""2025/11""	""700,00""	""700,00""	""0,00""	""700,00""
""VFA2504870""	""DE1600068""	""AKRON""	""SCA250866 12x SP7 + 5x SPC Arcelor Mittal (Waalse afdeling)""	""12x SP7 + 2x SPC (NTL 3x SPC) Arcelor Mittal-Waalse afdeling""	""Michelle Klijn""	""24-11-2025""	""2025/11""	""45.223,87""	""45.223,87""	""0,00""	""45.223,87""
""VFA2504869""	""DE2200307""	""Socotec Geotechnics""	""SCA250867 HDSR - 25SP0966 - Lease""	""HDSR 2x 10/10 +  16xLV4/5""	""Michelle Klijn""	""24-11-2025""	""2025/11""	""0,00""	""0,00""	""0,00""	""0,00""
""VFA2504868""	""A0002""	""Alcedo Beheer BV""	""""	""Huur 3 geluidmeter klasse 1  voor periode van 1 week""	""Ron Wittebol""	""17-11-2025""	""2025/11""	""2.200,50""	""2.662,60""	""2.662,60""	""0,00""
""VFA2504867""	""DE2400377""	""Ingenieursbureau Kragten bv""	""SCA240820 Kragten-Verzamelcontract""	""2 x LV8 4-5  Aanvulling op VOA 2502309""	""Ron Wittebol""	""17-11-2025""	""2025/11""	""1.378,00""	""1.667,38""	""1.667,38""	""0,00""
""VFA2504866""	""DE2300337""	""DPD consultancy Recherchebureau""	""SCA230700 2x SPC geluidmeter""	""msspcnb0281nakijken en hercertificeren.""	""Ron Wittebol""	""17-11-2025""	""2025/11""	""535,00""	""647,35""	""647,35""	""0,00""
""VFA2504865""	""DE1800176""	""Sweco Nederland B.V.""	""SCA240756 SWECO-NL Verzamelcontract- (p.kw.)""	""3 x LV8 4-5""	""Ron Wittebol""	""17-11-2025""	""2025/11""	""1.664,53""	""2.014,08""	""2.014,08""	""0,00""
""VFA2504864""	""DE1800176""	""Sweco Nederland B.V.""	""""	""20 x LV5 batterijen""	""Ron Wittebol""	""17-11-2025""	""2025/11""	""408,00""	""493,68""	""493,68""	""0,00""
""VFA2504863""	""A0000""	""Aveco de Bondt B.V.""	""""	""100x LVR""	""Michelle Klijn""	""17-11-2025""	""2025/11""	""15.300,00""	""18.513,00""	""18.513,00""	""0,00""
""VFA2504862""	""DE2200290""	""Grondslag""	""SCA220565 Grondslag-Verzamelcontract""	""2 x LV 8 4-5""	""Ron Wittebol""	""17-11-2025""	""2025/11""	""1.322,00""	""1.599,62""	""1.599,62""	""0,00""
""VFA2504861""	""DE1900219""	""Wiertsema & Partners Raadgevend Ingenieurs""	""""	""10 x Batterij LV5 en 10 x LV8""	""Ron Wittebol""	""14-11-2025""	""2025/11""	""459,00""	""555,39""	""555,39""	""0,00""
""VFA2504860""	""A0000""	""Aveco de Bondt B.V.""	""SCA250886 Periodieke kosten Vallei en Veluwe""	""6x LV8 diverse (extra lange) kabellengtes Vallei en Veluwe (NTL 1x)""	""Michelle Klijn""	""14-11-2025""	""2025/11""	""385,23""	""466,13""	""466,13""	""0,00""
""VFA2504859""	""DE2300336""	""WSP Nederland B.V""	""""	""RMA-W31-interne factuur""	""""	""14-11-2025""	""2025/11""	""0,00""	""0,00""	""0,00""	""0,00""
""VFA2504858""	""DE2400377""	""Ingenieursbureau Kragten bv""	""SCA240820 Kragten-Verzamelcontract""	""2 x LV8 4-5""	""Ron Wittebol""	""14-11-2025""	""2025/11""	""1.378,00""	""1.667,38""	""1.667,38""	""0,00""
""VFA2504857""	""A0000""	""Aveco de Bondt B.V.""	""""	""6x LV8 10l10 + 6x dop""	""Michelle Klijn""	""14-11-2025""	""2025/11""	""2.381,66""	""2.881,81""	""2.881,81""	""0,00""
""VFA2504856""	""A0010""	""Peutz""	""""	""Verlenging  2 weken huur 2 x SPC""	""Ron Wittebol""	""14-11-2025""	""2025/11""	""800,00""	""968,00""	""968,00""	""0,00""
""VFA2504855""	""DE2200307""	""Socotec Geotechnics""	""SCA250867 HDSR - 25SP0966 - Lease""	""3x LV8 4L05 HDSR-> intern voor uitlevering lease""	""Michelle Klijn""	""11-11-2025""	""2025/11""	""0,00""	""0,00""	""0,00""	""0,00""
