""Volgnr.""	""Icon (on)vergrendeld""	""Crediteur""	""Project""	""Bron verkoop""	""Icon product""	""Lev. bestelcode (SKU)""	""Productomschrijving""	""Aantal""	""Prijs net. ink. (p.e.)""	""Tot. ink. ex. BTW (CC)""
""IOA2400266""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""XXX-WRK-THIRDPARTY""	""Bank charge""	""1,0""	""25,00""	""22,50""
""IOA2400266""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""XXX-WRK-THIRDPARTY""	""Freight fee From Shenzhen to NL, door to door service""	""1,0""	""1.100,00""	""990,00""
""IOA2400266""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-34615""	""ER34615, 3.6V, 19Ah with 5 cm
wire and with a JST PHR-2
connector or Wurth
620002113322 (WR-WTB 2.0
mm Female Terminal Housing, 2
pins) or equivalent.""	""900,0""	""5,80""	""4.698,00""
""IOA2400264""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""125,0""	""119,30""	""14.912,50""
""IOA2400264""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""25,0""	""146,90""	""3.672,50""
""IOA2400263""	""""	""Sinus Messtechnik""	""""	""""	""""	""LEMO7 extension, 5m 961014.1D LEMO7 male - LEMO7 female""	""LEMO7 extension, 5m 961014.1D LEMO7 male - LEMO7 female""	""1,0""	""277,50""	""235,87""
""IOA2400262""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""1,0""	""378,00""	""378,00""
""IOA2400261""	""""	""GDK plastics""	""""	""""	""""	""100.990070001""	""Watermeterhuis LV4,5 kort""	""2.000,0""	""1,52""	""3.040,00""
""IOA2400260""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""2,0""	""378,00""	""756,00""
""IOA2400259""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""1,0""	""378,00""	""378,00""
""IOA2400258""	""""	""Huba Control""	""""	""""	""""	""MSWPS-713-25-RVS""	""Water Pressure Sensor behuizing (set, exclusief sensor type 713)

Bestaande uit: conus, vloeistofkamer en schacht.
Materiaal: RVS
Gewicht: 1250 gram
AR conisch binnendraad t.b.v. sondeerstang
Voor permeabele filters vanaf 30 mm binnendiameter (exclusief); 10
cm2
Afdichting schacht/vloeistofkamer: FPM (inclusief)
Referentie nummer: 210367-00-30mm-RVS""	""25,0""	""272,75""	""6.818,75""
""IOA2400257""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""125,0""	""119,30""	""14.912,50""
""IOA2400257""	""""	""Huba Control""	""""	""""	""""	""713.99002""	""digital+temp (3 bytes), 15m kabel, 0,8 - 2,0 bara, speciale konfectie""	""10,0""	""161,25""	""1.612,50""
""IOA2400257""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""50,0""	""146,90""	""7.345,00""
""IOA2400256""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""2,0""	""378,00""	""756,00""
""IOA2400255""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""150,0""	""119,30""	""17.895,00""
""IOA2400254""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-34615 with a JST PHR-2 connector""	""ER34615, 3.6V, 19Ah with 5 cm wire and with a JST PHR-2 connector or Wurth 620002113322 (WR-WTB 2.0mm Female Terminal Housing, 2 pins) or equivalent. See below for the orientation of the wires""	""900,0""	""5,80""	""4.698,00""
""IOA2400254""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Freight fee""	""Freight fee""	""1,0""	""980,00""	""882,00""
""IOA2400254""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Bank charge""	""Bank charge""	""1,0""	""25,00""	""22,50""
""IOA2400253""	""""	""Head Electronics (MACH Technology)""	""""	""""	""""	""TPLV-PCB_LVR_3V2 rev1 (B)""	""TPLV-PCB_LVR_3V2 rev1 (B) A230718""	""2.600,0""	""52,30""	""135.980,00""
""IOA2400252""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""150,0""	""119,30""	""17.895,00""
""IOA2400252""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""50,0""	""146,90""	""7.345,00""
""IOA2400251""	""""	""SONOR Kalibratie B.V.""	""SCA230713 Upgrade 4x SP4-> 4x NP2""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""4,0""	""378,00""	""1.512,00""
""IOA2400250""	""""	""SONOR Kalibratie B.V.""	""SCA230713 Upgrade 4x SP4-> 4x NP2""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""1,0""	""378,00""	""378,00""
""IOA2400249""	""""	""Huba Control""	""""	""""	""""	""MSWPS-713-25-RVS""	""Water Pressure Sensor behuizing (set, exclusief sensor type 713)

Bestaande uit: conus, vloeistofkamer en schacht.
Materiaal: RVS
Gewicht: 1250 gram
AR conisch binnendraad t.b.v. sondeerstang
Voor permeabele filters vanaf 30 mm binnendiameter (exclusief); 10
cm2
Afdichting schacht/vloeistofkamer: FPM (inclusief)
Referentie nummer: 210367-00-30mm-RVS""	""10,0""	""272,75""	""2.727,50""
""IOA2400248""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)  msspao10528
msspao10529
msspao10531
msspao10532
msspao10533""	""5,0""	""378,00""	""1.890,00""
""IOA2400247""	""""	""Digi-Key""	""""	""""	""""	""BLACK PLASTIC COVER  SMA""	""BLACK PLASTIC COVER FOR SMA JACKBC90009""	""1.000,0""	""0,35""	""347,76""
""IOA2400246""	""""	""AquaLabo""	""""	""""	""""	""PF-POR-C-00166""	""NEON_Portable Conductivity meter C4E Digital sensor 7m 1,0 1 058,00 35,00% 687,70
NEON_portable Conductivity & Salinity Meter with 7 m C4E sensor
Supplied with flexible carrying case and standard solutions""	""1,0""	""1.058,00""	""687,70""
""IOA2400245""	""""	""Sinus Messtechnik""	""""	""""	""""	""TPWHS-THIESCL-4920""	""Clima Sensor Thies US NHTFB
801529.5
CLIMA SENSOR US NHTFB
Output 0...10V, RS485/422, GPS
- GPS Receiver
- Wind Velocity: 0...60m/s
- Wind Direction: 0...360°
- Rain: yes/no (RADAR)
- Brightness: 0...250 LUX
- Temperature: -30...+70
- Humidity: 0...100 %
- Air Pressure: 300...1100hPa

Clima Sensor Cable RS485 open en.. 342.00 342.00
902361.4A
20m cable with open end""	""1,0""	""2.798,20""	""2.798,20""
""IOA2400244""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""50,0""	""146,90""	""7.345,00""
""IOA2400244""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""100,0""	""133,05""	""13.305,00""
""IOA2400243""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)  msspcl50219""	""1,0""	""378,00""	""378,00""
""IOA2400242""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd) 
msspak60422
en
msspam30503""	""2,0""	""378,00""	""756,00""
""IOA2400241""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Freight fee""	""Freight fee""	""1,0""	""138,00""	""124,20""
""IOA2400241""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Bank charge""	""Bank charge""	""1,0""	""12,50""	""11,25""
""IOA2400241""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""7S12P""	""Battery pack 7S12P -NCR18650B plus NTC,PCB, wires 12AWG""	""4,0""	""160,00""	""576,00""
""IOA2400240""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-LIC1030""	""LIC1030 120F 3.8V""	""1.500,0""	""1,40""	""1.890,00""
""IOA2400240""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Freight fee""	""Freight fee""	""1,0""	""1.080,00""	""972,00""
""IOA2400240""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-34615 with a JST PHR-2 connector""	""ER34615, 3.6V, 19Ah with 5 cm wire and with a JST PHR-2 connector or Wurth 620002113322 (WR-WTB 2.0mm Female Terminal Housing, 2 pins) or equivalent. See below for the orientation of the wires""	""900,0""	""5,80""	""4.698,00""
""IOA2400240""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Bank charge""	""Bank charge""	""1,0""	""12,50""	""11,25""
""IOA2400239""	""""	""BUKO Infrasupport Amsterdam""	""""	""""	""""	""Projectnr 664359/WMA""	""Werknummer:
Werk: Diverse geluidmeters en ledschermen [2e ondersteuningsdag], Amsterdam
Werklocatie: Cornelis Lelylaan 1, Amsterdam
Uitgevoerd op 12-07-2024 volgens bestelbon 664359.B001
Besteld door: Truijers
Verwijderd op 12-07-2024 volgens retourbon 664359.R001""	""1,0""	""1.842,25""	""1.842,25""
""IOA2400238""	""""	""BUKO Infrasupport Amsterdam""	""""	""""	""""	""Projectnr 660589/WMA""	""Werknummer: 
Werk: Diverse geluidmeters en ledschermen [1e ondersteuningsdag], Amsterdam 
Werklocatie: Cornelis Lelylaan 1, Amsterdam 
Uitgevoerd op 10-07-2024 volgens bestelbon 660589.B001 
Besteld door: Truijers 
Verwijderd op 10-07-2024 volgens retourbon 660589.R001""	""1,0""	""1.857,50""	""1.857,50""
""IOA2400237""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""150,0""	""133,05""	""19.957,50""
""IOA2400236""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd) 
2x OFGV  msspcl50229
msspcl50228
+ Calibrator klasse 1""	""2,0""	""378,00""	""756,00""
""IOA2400235""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd) msspao60539 gemeente Utrecht;  msspak70438 Munisense verhuur""	""2,0""	""378,00""	""756,00""
""IOA2400234""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""10,0""	""146,90""	""1.469,00""
""IOA2400234""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""125,0""	""133,05""	""16.631,25""
""IOA2400233""	""""	""SONOR Kalibratie B.V.""	""SCA220623 D2S Internationaal - 2x SPC""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""1,0""	""378,00""	""378,00""
""IOA2400232""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd) 
msspai90366
msspakb0460
msspakb0461""	""3,0""	""378,00""	""1.134,00""
""IOA2400231""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-34615 with a JST PHR-2 connector""	""ER34615, 3.6V, 19Ah with 5 cm wire and with a JST PHR-2 connector or Wurth 620002113322 (WR-WTB 2.0mm Female Terminal Housing, 2 pins) or equivalent. See below for the orientation of the wires""	""1.000,0""	""5,80""	""5.220,00""
""IOA2400231""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-34615""	""ER34615, 3.6V, 38Ah with 5 cm wire and with a JST PHR-2 connector or Wurth 620002113322 (WR-WTB 2.0mm Female Terminal Housing, 2 pins) or equivalent. See below for the orientation of the wires""	""10,0""	""10,50""	""94,50""
""IOA2400231""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Freight fee""	""Freight fee""	""1,0""	""1.080,00""	""972,00""
""IOA2400231""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Bank charge""	""Bank charge""	""1,0""	""25,00""	""22,50""
""IOA2400231""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-LIC1030""	""LIC1030 120F 3.8V""	""2.000,0""	""1,40""	""2.520,00""
""IOA2400230""	""""	""SUNPE LIMITED""	""""	""""	""""	""TPLVDOP""	""watermeter_enclosure_two_part_lid_v1_assembly_body
watermeter_enclosure_two_part_lid_v1_assembly_top""	""2.500,0""	""0,80""	""1.800,00""
""IOA2400230""	""""	""SUNPE LIMITED""	""""	""""	""""	""MPS-VERZEND""	""Freight""	""1,0""	""870,00""	""783,00""
""IOA2400229""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd) 
msspcn30276""	""1,0""	""378,00""	""378,00""
""IOA2400228""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd) msspcm50246
msspcm50247
msspcl90240
msspcl60237
msspcm80248
msspcl50212
msspcl50227
msspcl50220""	""6,0""	""378,00""	""2.268,00""
""IOA2400227""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""125,0""	""133,05""	""16.631,25""
""IOA2400227""	""""	""Huba Control""	""""	""""	""""	""713.8110308110""	""Pressure sensor, ceramic, 800-2000 mBar absolute, 30M cable, 4.5V/5V VDC supply""	""1,0""	""203,55""	""203,55""
""IOA2400226""	""""	""AquaLabo""	""""	""""	""""	""PF-CAP-C-00155""	""Cartridge for pH-ORP Sensor""	""2,0""	""322,00""	""418,60""
""IOA2400226""	""""	""AquaLabo""	""""	""""	""""	""PF-CAP-C-00169""	""Conductivity digital sensor bare wire 3m C4E""	""4,0""	""800,00""	""2.080,00""
""IOA2400226""	""""	""AquaLabo""	""""	""""	""""	""PF-CAP-C-00172""	""2 pH digital sensor bare wire 7m PHEHT without cartdridge""	""2,0""	""683,00""	""887,90""
""IOA2400226""	""""	""AquaLabo""	""""	""""	""""	""PF-POR-C-00166""	""NEON_Portable Conductivity meter C4E Digital sensor 7m 1,0 1 058,00 35,00% 687,70
NEON_portable Conductivity & Salinity Meter with 7 m C4E sensor
Supplied with flexible carrying case and standard solutions""	""1,0""	""1.058,00""	""687,70""
""IOA2400226""	""""	""AquaLabo""	""""	""""	""""	""PF-CAP-C-00418""	""OPTOD plastic standard Optical Oxygen Sensor 3m Bare Wire Cable""	""11,0""	""894,00""	""6.392,10""
""IOA2400224""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""1,0""	""378,00""	""378,00""
""IOA2400223""	""""	""Head Electronics (MACH Technology)""	""""	""""	""""	""TPLV-PCB_LVR_3V2 rev1 (B)""	""TPLV-PCB_LVR_3V2 rev1 (B) A230718""	""2.600,0""	""52,30""	""135.980,00""
""IOA2400222""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""1,0""	""378,00""	""378,00""
""IOA2400221""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""1,0""	""378,00""	""378,00""
""IOA2400220""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd) msspao30536
msspak70428
msspak70432
msspal80490""	""4,0""	""378,00""	""1.512,00""
""IOA2400219""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd) msspak80441 msspak80442 msspan30263  msspafc0034""	""4,0""	""378,00""	""1.512,00""
""IOA2400218""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""75,0""	""133,05""	""9.978,75""
""IOA2400218""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""50,0""	""146,90""	""7.345,00""
""IOA2400217""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""1,0""	""378,00""	""378,00""
""IOA2400216""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Bank charge""	""Bank charge""	""1,0""	""25,00""	""22,50""
""IOA2400216""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-34615SC""	""Model BAT for xx6 or xx7 devices (LTE-M or NB-IoT)""	""100,0""	""6,90""	""621,00""
""IOA2400216""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""ER3416M with Wires, connector""	""3.6V, 14Ah, wire length: 8cm, AWG22, connector: MC34481, 2 pin, 2.54mm(P1-black. P2-red)""	""500,0""	""5,60""	""2.520,00""
""IOA2400216""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Freight fee""	""Freight fee""	""1,0""	""648,00""	""583,20""
""IOA2400215""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""1,0""	""378,00""	""378,00""
""IOA2400214""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""50,0""	""146,90""	""7.345,00""
""IOA2400214""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""75,0""	""133,05""	""9.978,75""
""IOA2400213""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""2,0""	""378,00""	""756,00""
""IOA2400212""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""125,0""	""133,05""	""16.631,25""
""IOA2400211""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""125,0""	""133,05""	""16.631,25""
""IOA2400210""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""1,0""	""378,00""	""378,00""
""IOA2400209""	""""	""Jobarco B.V. (voorheen Elspec BV)""	""""	""""	""""	""TPCABLE-EQ-CC-02-2x075-1005402""	""1005402_TPCABLE-EQ-CC-02-2x075""	""2.000,0""	""1,97""	""1.379,00""
""IOA2400208""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""125,0""	""133,05""	""16.631,25""
""IOA2400207""	""""	""Jobarco B.V. (voorheen Elspec BV)""	""""	""""	""""	""XXX-WRK-THIRDPARTY""	""""	""2.000,0""	""2,19""	""4.380,00""
""IOA2400206""	""""	""Head Electronics (MACH Technology)""	""""	""""	""""	""TPLV-PCB_LVR_3V2 rev1 (B)""	""TPLV-PCB_LVR_3V2 rev1 (B) A230718""	""400,0""	""43,34""	""17.336,00""
""IOA2400206""	""""	""Head Electronics (MACH Technology)""	""""	""""	""""	""TPLV-PCB_LV8_3V2 rev1 (B)""	""TPLV-PCB_LV8_3V2 rev1 (B) A230719""	""100,0""	""43,26""	""4.326,00""
""IOA2400205""	""""	""Texim""	""""	""""	""""	""TPSIMCOM-SIM7600E""	""SIM7600E-H-B12-PCIE-SMM""	""375,0""	""32,00""	""12.000,00""
""IOA2400204""	""""	""Kiwi Electronics bv""	""""	""""	""""	""TP-PI-ZERO-2W""	""Raspberry Pi Zero 2 W""	""500,0""	""15,00""	""7.500,00""
""IOA2300203""	""""	""Head Electronics (MACH Technology)""	""""	""""	""""	""A230718""	""Watermeter PCBA - type 3V1_rev3B""	""500,0""	""43,34""	""21.670,00""
""IOA2300203""	""""	""Head Electronics (MACH Technology)""	""""	""""	""""	""A230718""	""Watermeter  PCB type LV8 versie 3V2 rev1 (B)""	""50,0""	""88,24""	""4.412,00""
""IOA2300202""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""125,0""	""129,80""	""16.225,00""
""IOA2300201""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""1,0""	""378,00""	""378,00""
""IOA2300200""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-LIC1030""	""LIC1030 120F 3.8V""	""500,0""	""1,40""	""630,00""
""IOA2300200""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""ER3416M with Wires, connector""	""3.6V, 14Ah, wire length: 8cm, AWG22, connector: MC34481, 2 pin, 2.54mm(P1-black. P2-red)""	""400,0""	""5,60""	""2.016,00""
""IOA2300200""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Bank charge""	""Bank charge""	""1,0""	""25,00""	""22,50""
""IOA2300200""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-34615 with a JST PHR-2 connector""	""ER34615, 3.6V, 19Ah with 5 cm wire and with a JST PHR-2 connector or Wurth 620002113322 (WR-WTB 2.0mm Female Terminal Housing, 2 pins) or equivalent. See below for the orientation of the wires""	""800,0""	""5,80""	""4.176,00""
""IOA2300200""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Freight fee""	""Freight fee""	""1,0""	""1.210,00""	""1.089,00""
""IOA2300199""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""1,0""	""378,00""	""378,00""
""IOA2300198""	""""	""SUNPE LIMITED""	""""	""""	""""	""MPS-VERZEND""	""Freight""	""1,0""	""870,00""	""783,00""
""IOA2300198""	""""	""SUNPE LIMITED""	""""	""""	""""	""TPLVDOP""	""watermeter_enclosure_two_part_lid_v1_assembly_body
watermeter_enclosure_two_part_lid_v1_assembly_top""	""2.500,0""	""0,80""	""1.800,00""
""IOA2300197""	""""	""Texim""	""""	""""	""""	""TPLV-SIM7080G LTE""	""SIM7080G-B15-(S2-108HB-Z31PW)-SMM""	""550,0""	""10,33""	""5.681,50""
""IOA2300196""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""125,0""	""129,80""	""16.225,00""
""IOA2300195""	""""	""CoreIoT""	""""	""""	""""	""MPS-VERZEND""	""shipping charges""	""1,0""	""65,00""	""65,00""
""IOA2300195""	""""	""CoreIoT""	""""	""""	""""	""CT LTE-M B20 B8 Antenna 1v0" antenna's""	""CT LTE-M B20 B8 Antenna 1v0" antenna's""	""1.050,0""	""1,50""	""1.575,00""
""IOA2300194""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""3,0""	""378,00""	""1.134,00""
""IOA2300193""	""""	""Cellpack Behr Bircher Cellpack BBC Benelux B.V""	""""	""""	""""	""zzz_Cellpack_Jumbo_Gel""	""Jumbo Gel 10000ml""	""1,0""	""194,10""	""194,10""
""IOA2300192""	""""	""Texim""	""""	""""	""""	""XXX-WRK-THIRDPARTY""	""Aan derden uitbesteed werk""	""50,0""	""0,00""	""0,00""
""IOA2300191""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""4S6P14.8V20400mAh.NCR18650B""	""4S6P 14.8V 21000mAh Li-ion Battery pack with 3 wires (red, black and blue NTC) - Panasonic NCR18650B 3.7V/3400mAh  the connector is the Connector Housing, Micro-Fit+ 215759 Series, Receptacle, 3 Ways, 3 mm and the crimp is the Micro-Fit+ Crimp Terminal, Female, with Tin (Sn) over Nickel Plating, 20-24 AWG""	""25,0""	""85,00""	""1.912,50""
""IOA2300191""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Bank charge""	""Bank charge""	""1,0""	""25,00""	""22,50""
""IOA2300191""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Freight fee""	""Freight fee""	""1,0""	""468,00""	""421,20""
""IOA2300190""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Bank charge""	""Bank charge""	""1,0""	""25,00""	""22,50""
""IOA2300190""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Freight fee""	""Freight fee""	""1,0""	""468,00""	""421,20""
""IOA2300190""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""ZZZ-BAT-LIION-2S4P-7.4V-14000mAh""	""2S4P 7.4V 14000mAh Li-ion Battery pack the connector is the Connector Housing, Micro-Fit+ 215759 Series, Receptacle, 3 Ways, 3 mm and the crimp is the Micro-Fit+ Crimp Terminal, Female, with Tin (Sn) over Nickel Plating, 20-24 AWG""	""50,0""	""28,30""	""1.273,50""
""IOA2300189""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-LIC1030""	""LIC1030 120F 3.8V""	""1.000,0""	""1,40""	""1.260,00""
""IOA2300189""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Freight fee""	""Freight fee""	""1,0""	""1.210,00""	""1.089,00""
""IOA2300189""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-34615 with a JST PHR-2 connector""	""ER34615, 3.6V, 19Ah with 5 cm wire and with a JST PHR-2 connector or Wurth 620002113322 (WR-WTB 2.0mm Female Terminal Housing, 2 pins) or equivalent. See below for the orientation of the wires""	""1.000,0""	""5,80""	""5.220,00""
""IOA2300189""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Bank charge""	""Bank charge""	""1,0""	""25,00""	""22,50""
""IOA2300188""	""""	""Wellshow""	""""	""""	""""	""XXX-WRK-THIRDPARTY""	""IPEX to 1.37(BK) to 
SMA(F)ra.bh.w/o-ring(5psi).,L=200mm(3GHz)
End A:20351-112R-37
End B: C02BDWS137073T-1
Cable:1.37,Black.,L=200+/-7mm
Orientation:IPEX face down, D flat of
SMA face front.""	""400,0""	""3,68""	""1.324,80""
""IOA2300187""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""250,0""	""129,80""	""32.450,00""
""IOA2300187""	""""	""Huba Control""	""""	""""	""""	""713.99002""	""digital+temp (3 bytes), 15m kabel, 0,8 - 2,0 bara, speciale konfectie""	""25,0""	""157,31""	""3.932,75""
""IOA2300186""	""""	""Klaver-Groep""	""""	""""	""""	""XXX-WRK-THIRDPARTY""	""Voor het verwijderen van de meetset op station Utr""	""1,0""	""1.170,25""	""1.170,25""
